위도,경도
33.50837373,126.5179711
33.48685782,126.5004737
33.52201797,126.5638318
33.4482102,126.4610091
33.48668512,126.4956785
33.48710755,126.5726821
33.50216783,126.5307044
33.5045286,126.6081302
33.49592346,126.5998507
33.4954181,126.6004046
33.49234387,126.584033
33.45854111,126.5210706
33.45814921,126.521148
33.47177981,126.5343484
33.47176903,126.5059447
33.48130384,126.4710981
33.47449778,126.5306707
33.49374374,126.4818154
33.47488855,126.5320833
33.48776135,126.5962541
33.46091682,126.4606965
33.46969437,126.5684671
33.48250575,126.4469523
33.52123095,126.5643632
33.49340637,126.4901408
33.44813393,126.5586012
33.49906019,126.5064919
33.51072559,126.5377401
33.48133773,126.535817
33.48547803,126.4392698
33.47341969,126.5977972
33.48937474,126.6277795
33.5045403,126.6082647
33.46432188,126.4903623
33.4922607,126.525738
33.45342462,126.5317146
33.51892786,126.5644985
33.4478373,126.5270527
33.45075854,126.529438
33.49610114,126.4959602
33.45633454,126.4565838
33.49161532,126.4773625
33.48941185,126.6236474
33.45255385,126.5880225
33.45102061,126.4537265
33.49952787,126.5916473
33.49957149,126.5918893
33.49398776,126.5658475
33.49380844,126.5667765
33.49289728,126.5672652
33.49045018,126.5687677
33.49583618,126.5378435
33.49551494,126.538133
33.44664487,126.474414
33.44670696,126.473642
33.44173649,126.471954
33.48909527,126.6277887
33.48876658,126.6279193
33.48844287,126.6178357
33.48880053,126.6176001
33.49996944,126.5861488
33.50026864,126.5866505
33.5006276,126.5868237
33.48092061,126.5357816
33.47111662,126.6142729
33.47096029,126.6147389
33.47084413,126.6150756
33.5138661,126.6136259
33.45277035,126.5203521
33.45338299,126.5202358
33.46189243,126.4606125
33.50237472,126.5311741
33.50237264,126.5312198
33.45172876,126.5202879
33.4519927,126.5203456
33.45234009,126.5204163
33.50081272,126.5282069
33.50103928,126.5279205
33.47539316,126.5254883
33.47508865,126.5266089
33.49632499,126.6105642
33.49582406,126.6111099
33.4954218,126.6107727
33.49545381,126.6102023
33.49548842,126.6097394
33.49564402,126.6090473
33.48653112,126.5456023
33.48679508,126.5462842
33.46704114,126.4515041
33.5173952,126.5371611
33.50563607,126.4675466
33.47534561,126.5318298
33.51213455,126.5430679
33.51194,126.5548019
33.51529694,126.5301514
33.48889542,126.4785156
33.49279022,126.5273743
33.47953796,126.4490509
33.48302841,126.4471207
33.52743912,126.5769348
33.5272522,126.5771408
33.52711105,126.5772858
33.52697754,126.5774307
33.52787018,126.5768738
33.52787399,126.5776672
33.5276947,126.578392
33.52738571,126.5788574
33.50748444,126.5227585
33.50682068,126.5192871
33.49229813,126.5012436
33.48225021,126.4983826
33.48223114,126.4971085
33.48403549,126.4905319
33.48477554,126.491394
33.48559952,126.4878616
33.48740787,126.4888848
33.48729887,126.4892351
33.47695723,126.4894195
33.48937225,126.574501
33.51251984,126.5085678
33.50323105,126.5089493
33.50859451,126.5252762
33.50382996,126.460556
33.50447464,126.4605026
33.5047493,126.460495
33.50507355,126.4604797
33.50381088,126.4613647
33.50398254,126.461113
33.50428772,126.4606857
33.5232811,126.568161
33.52556992,126.5659637
33.52549362,126.5662308
33.52540588,126.5665817
33.5253334,126.5668106
33.52531815,126.567009
33.52536774,126.5671921
33.52516937,126.5674515
33.52472305,126.5653305
33.49510193,126.4261017
33.49529266,126.426384
33.4954834,126.4267044
33.49586487,126.4273529
33.50933746,126.5896721
33.52303404,126.5598735
33.52271452,126.5600285
33.5224988,126.5602153
33.51740852,126.5781303
33.49357253,126.5492941
33.4775807,126.5365176
33.50522706,126.4678289
33.50531347,126.4680059
33.52972031,126.5933456
33.49136008,126.4853106
33.4914666,126.4854526
33.4937706,126.4337463
33.51371002,126.5421906
33.51401138,126.5418091
33.51432419,126.5414429
33.51428223,126.5419846
33.51418686,126.5424957
33.51419067,126.5427856
33.51421356,126.5430069
33.51424026,126.5435333
33.51428986,126.5440445
33.51428223,126.5444412
33.51385498,126.5428238
33.51415253,126.5413437
33.51385498,126.5414124
33.51395416,126.5403748
33.51446915,126.540451
33.51436615,126.5408554
33.51455307,126.5400925
33.51457596,126.5397797
33.51447296,126.5395584
33.51430893,126.5387726
33.51439667,126.5389938
33.51438522,126.5390015
33.51458359,126.5394592
33.51483536,126.5398178
33.51488113,126.5401459
33.51502991,126.5402451
33.51502228,126.5405121
33.51512527,126.540863
33.51488495,126.540863
33.51496506,126.5411148
33.51496506,126.5414276
33.51465988,126.5414276
33.51520538,126.5414352
33.51545334,126.5414352
33.51563644,126.5420532
33.51584625,126.5414352
33.51622009,126.5414352
33.51659393,126.5414352
33.51692581,126.5413513
33.5173645,126.5414505
33.51780701,126.5413589
33.51810455,126.5414429
33.5185051,126.5414658
33.51856232,126.5413284
33.51785278,126.540863
33.51763916,126.5407639
33.51726151,126.5408478
33.51694107,126.5408783
33.5166893,126.540863
33.51648712,126.5408478
33.51635742,126.540863
33.5158577,126.5408783
33.51585388,126.5411987
33.5158577,126.5405121
33.51585007,126.5401993
33.51581192,126.5402374
33.51535797,126.5402298
33.51541138,126.5407791
33.51629257,126.5402374
33.51650238,126.5402222
33.51665878,126.5402374
33.51678848,126.5402451
33.51694489,126.5402222
33.51714325,126.5402527
33.51693726,126.5404358
33.51743317,126.5402451
33.51777267,126.5402603
33.51800156,126.5402527
33.51819992,126.5402374
33.51807785,126.539772
33.5177002,126.5397797
33.51748276,126.539772
33.51705933,126.5397644
33.51689148,126.5397797
33.51662445,126.5397949
33.51633072,126.539772
33.51612854,126.539772
33.51583862,126.5397873
33.51558304,126.5397797
33.51525497,126.5397797
33.51508713,126.5397644
33.51486588,126.5393524
33.51528549,126.539505
33.51535797,126.5390167
33.51498795,126.5390167
33.51474762,126.5390472
33.51527786,126.5386505
33.51557922,126.5386734
33.51586533,126.5391922
33.51586151,126.5394821
33.51656723,126.5391159
33.51708221,126.5391235
33.51695633,126.5394211
33.51748276,126.5391159
33.5178566,126.5391235
33.51695633,126.5389023
33.52077866,126.5451202
33.52068329,126.5455933
33.51824188,126.5387115
33.51824951,126.538414
33.51808929,126.5378723
33.51804733,126.5372314
33.51804733,126.5367508
33.51795959,126.5363846
33.51826859,126.5363998
33.51845932,126.5363922
33.51859665,126.5367661
33.5177803,126.5363235
33.51780319,126.5361176
33.51765823,126.5357132
33.51810074,126.5357895
33.51840973,126.5361099
33.51834488,126.5356216
33.5186348,126.5357742
33.51813889,126.5355682
33.51786041,126.5354309
33.51729584,126.5357819
33.51706314,126.5360184
33.51689148,126.5361557
33.51699829,126.5364456
33.51697922,126.5368652
33.51696014,126.5371552
33.51734161,126.5372391
33.51737595,126.5368271
33.51733398,126.5363388
33.51781082,126.5367889
33.51777267,126.5372391
33.5180397,126.5373993
33.51778793,126.5376968
33.51779556,126.5380173
33.51766205,126.5378036
33.51743698,126.5378265
33.51694107,126.5376816
33.51692963,126.5378418
33.51699829,126.5382462
33.51674652,126.5378113
33.5165062,126.5378265
33.51608276,126.5378189
33.51572418,126.5379257
33.51583481,126.5376129
33.51593781,126.5372925
33.51609802,126.5372162
33.51649857,126.5372314
33.5165062,126.5370102
33.51666641,126.5372162
33.51593399,126.5368958
33.5162468,126.5368576
33.51562119,126.5364227
33.51594925,126.5361786
33.51561356,126.5358582
33.51571274,126.5353317
33.51600647,126.5354538
33.51595306,126.5358963
33.51628494,126.5363998
33.51662827,126.5363159
33.51681137,126.5363159
33.51676178,126.535965
33.51654816,126.5356903
33.51638031,126.5358887
33.51643753,126.5353851
33.51628876,126.5353241
33.51634287,126.5354284
33.5160141,126.5349808
33.51579666,126.5346603
33.51560211,126.5344543
33.51531982,126.533989
33.51525497,126.5337906
33.51486206,126.5335007
33.51463318,126.5333176
33.51461029,126.5335922
33.5147934,126.5339432
33.51499176,126.5339127
33.51481247,126.5343628
33.51505661,126.5342941
33.51527405,126.5343857
33.51469421,126.5348129
33.5146904,126.5351105
33.5149765,126.5351105
33.51489639,126.5352783
33.51527405,126.5346069
33.51494217,126.5345154
33.51543045,126.5348053
33.51447678,126.5351486
33.51419449,126.5352783
33.51418686,126.5356598
33.51408768,126.536911
33.51453018,126.536911
33.51487732,126.5369797
33.51532364,126.5369797
33.51567841,126.5369873
33.51535034,126.5372696
33.5153389,126.5375214
33.51573181,126.5374985
33.514534,126.5374832
33.51453018,126.5376663
33.51452637,126.5382309
33.51428604,126.5373383
33.51420593,126.5351028
33.51426697,126.5347366
33.51434326,126.5344772
33.51449203,126.533844
33.51401901,126.5346527
33.51387024,126.5325089
33.51418686,126.5323486
33.51385498,126.5320969
33.51457596,126.5321121
33.51458359,126.5325775
33.51424789,126.5325851
33.51471329,126.5331802
33.51488876,126.5330582
33.51511002,126.5328751
33.51531219,126.5329819
33.51491928,126.5325394
33.51560593,126.5328522
33.515728,126.5341415
33.51559448,126.5337372
33.51579285,126.5336685
33.51528549,126.5335617
33.51538086,126.5333481
33.51525497,126.5332718
33.51551819,126.5330124
33.51623535,126.5336227
33.51604843,126.533371
33.51582718,126.5330429
33.5156517,126.5327377
33.51548767,126.5324936
33.51531982,126.5322037
33.51504517,126.5320206
33.51593399,126.5326309
33.51605606,126.5321655
33.51612091,126.5324936
33.51621246,126.532486
33.51632309,126.5330429
33.51649475,126.5334167
33.5173645,126.5320206
33.51763916,126.5323715
33.51709747,126.5316467
33.51701736,126.5315018
33.51681351,126.5311245
33.5167923,126.5296707
33.51667404,126.5290451
33.51666641,126.5290375
33.51697159,126.528862
33.51707458,126.5288849
33.51707265,126.5287295
33.5171051,126.5291748
33.51711655,126.5291901
33.51713943,126.5296021
33.51704025,126.5296021
33.5171051,126.5301056
33.5172348,126.5305405
33.51721573,126.5307236
33.51708984,126.5307999
33.51694489,126.5306168
33.51673126,126.527832
33.51676941,126.5281219
33.51676559,126.5283966
33.51712799,126.5281296
33.51716614,126.5283966
33.51747894,126.52845
33.51789093,126.5286331
33.51799011,126.5283585
33.51837158,126.52845
33.51867294,126.5284348
33.51900482,126.5284653
33.5194397,126.5289459
33.51602173,126.5309143
33.51625061,126.5312958
33.51539612,126.5311508
33.51509094,126.5307617
33.5147934,126.5307007
33.51499939,126.5311279
33.51485062,126.5303726
33.51474762,126.5298843
33.51463318,126.5295029
33.5148735,126.5293655
33.51489258,126.5296707
33.51521301,126.5297852
33.51541519,126.5301971
33.51451874,126.5300674
33.51438141,126.5300827
33.51375198,126.5301056
33.51352692,126.5305099
33.51369476,126.5310745
33.51414108,126.5309753
33.51390839,126.5312271
33.51373291,126.5312729
33.51365662,126.5314789
33.51393509,126.5307007
33.51415253,126.5307236
33.51415634,126.5306549
33.51390457,126.5304642
33.51441574,126.5307236
33.51476288,126.5310287
33.51469803,126.5313416
33.51464081,126.5315704
33.51428986,126.5316162
33.51440811,126.5313263
33.51360321,126.5307465
33.51565552,126.5276489
